date,sp500,wti,eurusd
2020-03-10,4.821508,10.449057,-0.685355
2020-03-11,-5.010286,-3.965016,-0.54814
2020-03-12,-9.994485,-4.854872,-1.779932
2020-03-13,8.880836,0.50569,-0.135459
2020-03-16,-12.765214,-9.103183,0.657512
2020-03-17,5.822629,-7.156128,-1.519704
2020-03-18,-5.322234,-27.490549,-1.26584
2020-03-19,0.469685,20.302056,-1.244675
2020-03-20,-4.432763,-25.308106,-0.15902
2020-03-23,-2.973149,18.035179,0.727547
2020-03-24,8.968316,-10.37901,0.315487
2020-03-25,1.1469,-1.340374,0.379121
2020-03-26,6.054383,-22.314355,1.738379
2020-03-27,-3.426781,-6.985383,0.307915
2020-03-30,3.296662,-9.337407,-0.371428
2020-03-31,-1.614238,37.473777,-0.018154
2020-04-01,-4.514633,-1.127739,-0.747156
2020-04-02,2.25727,21.641485,-0.660674
2020-04-03,-1.525286,11.892967,-0.600214
2020-04-06,6.796823,-7.883868,0.101828
2020-04-07,-0.160433,-10.743992,0.719096
2020-04-08,3.348935,5.8974,-0.202299
2020-04-09,1.438344,-8.653819,0.614822
2020-04-13,-1.015599,-2.386326,-0.228969
2020-04-14,3.01145,-10.406936,0.594233
2020-04-15,-2.227675,-0.947402,-0.566729
2020-04-16,0.579986,-0.703874,-0.634514
2020-04-17,2.644093,-7.924417,0.395894
2020-04-22,2.26713,42.583241,-0.230595
2020-04-23,-0.053956,9.903557,-0.129366
2020-04-24,1.382211,5.99213,-0.157313
2020-04-27,1.460687,-27.298962,0.286679
2020-04-28,-0.525614,1.872257,0.06462
2020-04-29,2.623666,19.301685,0.156762
2020-04-30,-0.925512,24.575824,0.743566
2020-05-01,-2.846022,2.516179,0.583624
2020-05-04,0.424081,3.732705,-0.794198
2020-05-05,0.899995,18.21587,-0.615952
2020-05-06,-0.700387,-2.807781,-0.35104
2020-05-07,1.143895,-0.841048,0.083252
2020-05-08,1.673076,4.338627,0.359962
2020-05-11,0.017747,-2.913026,-0.332226
2020-05-12,-2.075779,6.993608,0.424316
2020-05-13,-1.761696,-1.525553,-0.248837
2020-05-14,1.145892,7.697564,-0.342007
2020-05-15,0.391869,7.181128,0.148039
2020-05-18,3.101522,7.805495,0.810318
2020-05-19,-1.053976,1.465799,0.302184
2020-05-20,1.651393,3.826765,0.39239
2020-05-21,-0.780394,2.181047,-0.246204
2020-05-22,0.235097,-2.389847,-0.540121
2020-05-26,1.221426,3.54928,0.69521
2020-05-27,1.471849,-5.631117,-0.009116
2020-05-28,-0.211017,2.617872,0.90753
2020-05-29,0.480077,5.489535,0.342713
2020-06-01,0.374424,-0.225162,0.14395
2020-06-02,0.817728,3.841843,0.385841
2020-06-03,1.355666,1.212789,0.713906
2020-06-04,-0.337438,0.240803,0.673523
2020-06-05,2.587407,5.384215,-0.221053
2020-06-08,1.196967,-3.399761,-0.035414
2020-06-09,-0.782976,2.099883,0.485845
2020-06-10,-0.532724,1.426412,0.061666
2020-06-11,-6.075276,-8.192021,0.202349
2020-06-12,1.29763,-0.522913,-1.104691
2020-06-15,0.827785,2.264454,0.150957
2020-06-16,1.878488,3.159695,-0.097652
2020-06-17,-0.36068,-0.919003,-0.355904
